Timestamp,What is your favorite Driver?,What is your favorite Midrange?,What is your favorite Putter?
10/27/2020 14:48:38,Force,M4,"Warden, But if I am being honest It would sit in all three of the categories."
10/27/2020 14:50:14,Force,Buzzz,P2 (although I putt with something else currently)
10/27/2020 14:52:47,Star glow colossus,ESP zone,Super soft wizard
10/27/2020 14:54:19,Westside hatchet,Kastaplast Göte or a meteor,Judge or envy
10/27/2020 14:54:56,Innova Innova Destroyer,Mako,Judge
10/27/2020 14:58:01,Innova wraith,Discraft buzzz,Dynamic disc judge
10/27/2020 15:22:42,Innova Innova Innova Destroyer (Star),Discraft Buzzz (Z),Dynamic Discs Warden (Soft)
10/27/2020 15:37:58,Innova Wraith 168 champ,Dynamic Justice 175 lucid,Dynamic Warden 173 Prime
10/27/2020 15:56:44,Innova Innova Destroyer,Buzzz,Putter
10/27/2020 16:27:17,Prodigy h3v2 750 spectrum,Prodigy m4 400g,Prodigy pa1 300 soft
10/27/2020 17:59:57,DD Trespass,Discraft Buzz,Gateway Wizard
10/27/2020 18:05:49,Westside Sword,Latitude 64 Anchor,Discraft Roach
10/27/2020 18:11:49,Dynamic discs trespass,Dynamic discs verdict,Dynamic discs guard
10/27/2020 18:29:51,Star Innova Innova Destroyer,Roc,Aviar
10/27/2020 18:36:00,Convict,Obex,Shield
10/27/2020 19:06:10,Dynamic Discs Trespass,Discmania MD,Discmania Link
10/27/2020 19:36:03,Westside Underworld,Discraft Meteor,Westside Shield
10/27/2020 19:39:15,Zeus,Roc3,Macana & harp
10/27/2020 19:42:52,Musket,Manta,Luna
10/27/2020 19:45:01,Innova Teebird,Discraft FLX Drone,Innova JK Pro Aviar
10/27/2020 19:54:28,Innova Wraith,Discmania MD,Dynamic Discs Judge
10/27/2020 20:15:24,Innova Leopard3,Innova Mako3,Discraft Roach
10/27/2020 20:16:51,Innova Innova Destroyer,Lucid X emac truth,Mercy
10/27/2020 20:31:38,Augusta Wraith,Gator,Special Edition Rhyno
10/27/2020 20:46:16,Innova thunderbird,Infinite chariot,Gateway wizard
10/27/2020 21:51:15,MVP Photon,MVP Reactor,Axiom Envy
10/27/2020 21:54:36,Star Wraith,ESP 4 claw buzzz,Luna
10/28/2020 0:17:25,Trespass,Justice,Deputy
10/28/2020 3:34:26,400G D2,400 M3,300 Pa3
10/28/2020 4:12:13,S-line Disc mania dd3,C-line Md3,P-Line P2
10/28/2020 4:37:05,Tee bird,Roc,Wizard
10/28/2020 7:04:57,Innova Sidewinder so dependable.,Discraft Meteor for understable / Discraft Wasp for overstable,"Innova Aviar putter / Gateway Magic /Discraft APX (I love them all, don't make me choose."
10/28/2020 7:06:43,Sidewinder,Rock,Rock
10/28/2020 7:35:02,Raider,I don't use them,Classic Aviar
10/28/2020 7:39:23,Esp force by discraft,Dx drone by discraft,Putting putter the Luna and throwing putter the banger gt both by discraft
10/28/2020 9:02:23,Star Innova Innova Destroyer,DX Roc,Wizard
10/28/2020 12:45:49,Innova Innova Destroyer,Roc 3,P2
10/28/2020 19:00:34,Lots,KaxeZ,Reko
10/28/2020 20:47:25,Innova Sidewinder,BUZZ XS,Prodigy P-4
10/28/2020 21:04:35,Sidewnder,Suspect,Judge
10/28/2020 21:53:27,Crank (discraft),Buzzz (discraft),Luna (discraft)
10/28/2020 22:10:05,Latitude 64 Bolt,Dynamic Discs Suspect,Westside Discs Maiden
10/28/2020 22:27:53,Dynamic Discs Freedom,Lat64 Compass,Lat 64 Medium Soft Keystone
10/29/2020 6:01:29,Star Roadrunner,Star Gator,DX AVIAR
10/30/2020 6:30:37,First run blizzard boss,Dga flex squall,Challenger
10/30/2020 7:54:37,Discraft Heat,Prodigy M4,Dynamic discs Burst Judge
10/30/2020 8:32:35,Trespass,Evidence,Voodoo
10/30/2020 14:10:20,Discraft hades,Discmania glow md4,Discmania active sensi
10/30/2020 17:04:56,Crank,buzzzz,wizard$
10/30/2020 20:25:33,Innova Champion Boss,Dynamic Discs Emac Truth,Dynamic Disc Warden
10/31/2020 2:14:32,Innova Innova Destroyer,Buzzz,P2
10/31/2020 7:00:19,Innova Shryke,Innova Spider,Innova Whale
10/31/2020 9:22:18,Innova Innova Destroyer,Roc,Zone
11/1/2020 4:42:00,D4 by prodigy,M3 prodigy,PA-4
11/1/2020 12:06:57,Discraft Force,Discraft Buzz,Discraft Challenger
11/4/2020 18:11:31,Nuke,Wasp,Judge
